time,u_method_1,u_method_2,y_method_1,y_method_2
28,0.22279118587514124,0.2230460531621516,0.23619877939850514,0.23604195928210697
29,0.22302804269954776,0.22293963458094473,0.23605134333210204,0.23594040800561308
30,0.22299835010685007,0.22271410923133717,0.2359431081241623,0.23587934742285513
31,0.22284670514858546,0.22248939793895106,0.23588012811532594,0.2358572772973735
32,0.2226744557796885,0.22233167091817713,0.23585461873029467,0.2358624178127687
33,0.22253676456827295,0.22225984191172715,0.23585371034993274,0.23588089594160438
34,0.22245220063106222,0.22226148881736868,0.2358650515409351,0.2359014911258189
35,0.22241641661370776,0.22230973819353073,0.23587951356319323,0.23591741899141006
36,0.22241463930382432,0.2223763751517817,0.23589179114075187,0.23592612140150523
37,0.22243055714191318,0.22243957074485243,0.2358997924701874,0.23592805745622517
38,0.2224512210528167,0.22248668726348092,0.235903557034145,0.23592526594893334
39,0.22246871265871315,0.22251362716461534,0.23590419000331225,0.23592016597435778
40,0.2224797432973337,0.22252238348962544,0.2359030600381973,0.23591478801817978
41,0.222484283320164,0.2225181547785656,0.2359013250119666,0.2359104342286608
42,0.22248402627654862,0.22250689700700832,0.2358997409219126,0.2359076622258327
43,0.22248114691767415,0.22249370359351311,0.23589866324873326,0.2359064554165611
44,0.22247752145418298,0.22248204188275242,0.23589814760097538,0.23590645844207037
45,0.22247438575818435,0.22247366325132145,0.23589807731907605,0.23590719401612237
46,0.22247231161853082,0.22246892674918906,0.23589827379352776,0.23590821821871114
47,0.22247135955596964,0.2224672921782033,0.2358985705052729,0.23590920426593076
48,0.22247128939425168,0.22246780339774758,0.23589884960109528,0.2359099656534486
49,0.22247175057831448,0.22246946036791923,0.23589904948571266,0.2359104388438294
50,0.22247241493477501,0.22247144579102815,0.23589915499242475,0.2359106462890416
51,0.22247304550273553,0.22247321847567392,0.2358991805523817,0.23591065618863927
52,0.22247351335757382,0.22247450943529645,0.23589915366789424,0.2359105491663261
53,0.22247378145839192,0.22247526254281655,0.23589910256900318,0.2359103962062609
54,0.22247387389939635,0.222475555769327,0.23589904915473064,0.23591024787937587
55,0.22247384422247682,0.22247552789007313,0.23589900655200446,0.2359101324141549
56,0.22247375061564575,0.2224753237786231,0.2358989798219997,0.23591005928594214
57,0.22247364075332504,0.22247506185536792,0.23589896825420753,0.2359100252219005
58,0.22247354557653592,0.2224748210312858,0.23589896800887805,0.23591002032134722
59,0.22247347955019417,0.2224746415038113,0.23589897433719967,0.2359100329482509
60,0.22247344452338672,0.2224745332643247,0.23589898304851378,0.23591005288909433
61,0.22247343475168965,0.22247448720002644,0.2358989912149559,0.23591007285548585
62,0.22247344144317807,0.22247448534043235,0.23589899728454486,0.23591008872794395
63,0.22247345601350782,0.22247450847539676,0.2358990008347232,0.23591009903300836
64,0.22247347188308414,0.22247454069596068,0.23589900217889678,0.23591010409531743
65,0.22247348505002418,0.2224745712524601,0.2358990019788808,0.23591010518367037
66,0.22247349384492088,0.22247459451654295,0.23589900094786626,0.23591010383286298
67,0.22247349827884438,0.22247460888827042,0.23589899967103076,0.23591010140690186
68,0.22247349930649982,0.22247461534234997,0.23589899853256252,0.2359100988896923
69,0.22247349820444037,0.22247461607828514,0.23589899771890782,0.23591009684741593
70,0.2224734961511362,0.22247461351243797,0.23589899726422206,0.2359100954950531
71,0.22247349401281444,0.22247460967277738,0.2358989971094937,0.23591009480719596
72,0.22247349229182398,0.22247460594515955,0.23589899715627644,0.23591009463028437
73,0.22247349117748796,0.2224746030683843,0.23589899730552694,0.23591009477199237
74,0.22247349064300642,0.22247460126824925,0.23589899747951892,0.23591009505903868
75,0.22247349054697224,0.22247460044020906,0.2358989976294443,0.23591009536523103
76,0.22247349071502664,0.2224746003202031,0.23589899773332496,0.2359100956170502
77,0.2224734909926583,0.2224746006126762,0.23589899778896417,0.23591009578559374
78,0.22247349127017718,0.222474601067761,0.2358989978056743,0.23591009587266962
79,0.22247349148682224,0.22247460151398432,0.2358989977971401,0.23591009589660336
80,0.22247349162229552,0.22247460185950768,0.2358989977764831,0.23591009588090212
81,0.2224734916831785,0.22247460207577807,0.23589899775363732,0.23591009584690795
82,0.22247349168950575,0.2224746021750077,0.23589899773458917,0.23591009581021719
83,0.22247349166434646,0.22247460218907644,0.23589899772182127,0.23591009577993893
84,0.22247349162737615,0.22247460215375292,0.23589899771532868,0.2359100957596756
85,0.22247349159205768,0.22247460209921915,0.2358989977137293,0.23591009574924085
86,0.22247349156545926,0.22247460204608108,0.23589899771518244,0.23591009574641505
87,0.22247349154954627,0.2224746020052616,0.23589899771799872,0.23591009574834446
88,0.2224734915430505,0.2224746019800348,0.23589899772094472,0.2359100957524442
89,0.22247349154317644,0.22247460196878815,0.23589899772331088,0.23591009575683478
90,0.22247349154691712,0.22247460196759838,0.23589899772483391,0.23591009576042857
91,0.22247349155182175,0.22247460197213392,0.23589899772555503,0.23591009576280597
92,0.22247349155627258,0.22247460197878752,0.23589899772567444,0.2359100957640031
93,0.22247349155948484,0.22247460198513036,0.23589899772543596,0.23591009576429675
94,0.22247349156129756,0.22247460198991104,0.2358989977250534,0.23591009576403488
95,0.2224734915619308,0.22247460199279095,0.23589899772467665,0.2359100957635283
96,0.2224734915617803,0.22247460199400237,0.23589899772438702,0.23591009576299987
97,0.22247349156122642,0.22247460199403934,0.23589899772420986,0.23591009576257563
98,0.22247349156057783,0.2224746019934308,0.23589899772413417,0.2359100957623014
99,0.2224734915600208,0.22247460199260477,0.23589899772413125,0.23591009576216915
