time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3
125,0.24999998993556088,0.249999997170529,0.249999996642584,0.25000001469709904,0.25000002193206927,0.25000002140412353
126,0.2499999902797936,0.2499999975147617,0.2499999969868166,0.2500000204165849,0.2500000276515551,0.2500000271236094
127,0.24999999078097607,0.24999999801594414,0.24999999748799917,0.2500000227161409,0.25000002995111104,0.25000002942316535
128,0.24999999136449175,0.24999999859945993,0.24999999807151485,0.2500000221961269,0.25000002943109695,0.25000002890315126
129,0.2499999919663543,0.2499999992013225,0.24999999867337747,0.25000001953923917,0.25000002677420924,0.25000002624626355
130,0.24999999253574554,0.24999999977071358,0.2499999992427685,0.2500000154384423,0.2500000226734123,0.2500000221454667
131,0.2499999930359472,0.25000000027091523,0.24999999974297019,0.2500000105407008,0.2500000177756708,0.2500000172477252
132,0.24999999344396714,0.25000000067893513,0.25000000015099005,0.2500000054072261,0.2500000126421962,0.25000001211425055
133,0.24999999374918436,0.25000000098415265,0.25000000045620757,0.25000000048951454,0.2500000077244846,0.250000007196539
134,0.24999999395134798,0.25000000118631616,0.250000000658371,0.2499999961194006,0.25000000335437067,0.25000000282642504
135,0.24999999405822698,0.25000000129319494,0.25000000076525,0.2499999925106756,0.24999999974564568,0.24999999921770003
136,0.2499999940831804,0.2500000013181482,0.2500000007902033,0.2499999897694895,0.24999999700445963,0.24999999647651394
137,0.24999999404284756,0.25000000127781563,0.25000000074987055,0.24999998791071498,0.24999999514568513,0.24999999461773942
138,0.24999999395511477,0.2500000011900829,0.2500000006621378,0.24999998687763797,0.24999999411260815,0.2499999935846624
139,0.24999999383744806,0.25000000107241627,0.25000000054447113,0.24999998656268754,0.24999999379765775,0.24999999326971198
140,0.24999999370564188,0.2500000009406097,0.2500000004126646,0.2499999868273616,0.2499999940623318,0.24999999353438604
141,0.24999999357297975,0.2500000008079478,0.2500000002800027,0.24999998751999006,0.24999999475496026,0.2499999942270145
142,0.24999999344978505,0.2500000006847531,0.2500000001568082,0.24999998849045593,0.2499999957254261,0.24999999519748034
143,0.24999999334329948,0.25000000057826754,0.25000000005032247,0.24999998960143166,0.2499999968364018,0.24999999630845604
144,0.24999999325782787,0.2500000004927958,0.24999999996485078,0.249999990736059,0.24999999797102912,0.24999999744308335
145,0.24999999319507812,0.25000000043004605,0.24999999990210106,0.24999999180229227,0.24999999903726236,0.24999999850931662
146,0.24999999315462276,0.25000000038959075,0.24999999986164576,0.24999999273433254,0.2499999999693026,0.24999999944135687
147,0.2499999931344197,0.2500000003693878,0.24999999984144275,0.24999999349170732,0.25000000072667733,0.25000000019873164
148,0.2499999931313389,0.25000000036630693,0.24999999983836196,0.2499999940566053,0.2500000012915753,0.2500000007636296
149,0.249999993141652,0.25000000037662035,0.24999999984867524,0.24999999443007154,0.2500000016650415,0.2500000011370958
150,0.24999999316145735,0.2500000003964254,0.24999999986848043,0.24999999462761707,0.25000000186258703,0.25000000133464134
151,0.24999999318701874,0.2500000004219868,0.24999999989404176,0.24999999467471656,0.2500000019096865,0.25000000138174083
152,0.24999999321501673,0.25000000044998466,0.24999999992203964,0.24999999460256675,0.25000000183753673,0.250000001309591
153,0.24999999324270797,0.25000000047767595,0.24999999994973096,0.24999999444437382,0.25000000167934383,0.2500000011513981
154,0.24999999326800537,0.25000000050297344,0.24999999997502842,0.24999999423233527,0.2500000014673053,0.25000000093935953
155,0.24999999328948783,0.25000000052445615,0.24999999999651099,0.2499999939953902,0.2500000012303602,0.25000000070241446
156,0.24999999330635758,0.25000000054132576,0.2500000000133806,0.24999999375773593,0.250000000992706,0.25000000046476023
157,0.24999999331835754,0.2500000005533256,0.2500000000253806,0.24999999353805016,0.2500000007730202,0.25000000024507446
158,0.24999999332566805,0.25000000056063626,0.25000000003269135,0.24999999334931686,0.2500000005842869,0.25000000005634115
159,0.2499999933287927,0.25000000056376087,0.25000000003581585,0.24999999319913152,0.2500000004341016,0.24999999990615582
160,0.24999999332844355,0.25000000056341165,0.2500000000354666,0.24999999309035212,0.2500000003253222,0.24999999979737644
161,0.2499999933254393,0.2500000005604075,0.25000000003246237,0.24999999302196663,0.25000000025693675,0.24999999972899098
162,0.2499999933206175,0.25000000055558547,0.25000000002764045,0.24999999299006026,0.2500000002250304,0.24999999969708464
163,0.2499999933147646,0.25000000054973254,0.2500000000217875,0.2499999929887851,0.25000000022375524,0.2499999996958095
164,0.24999999330856745,0.25000000054353544,0.2500000000155904,0.24999999301125672,0.25000000024622687,0.2499999997182811
165,0.24999999330258252,0.2500000005375506,0.2500000000096056,0.24999999305032505,0.2500000002852952,0.24999999975734943
166,0.24999999329722325,0.25000000053219124,0.25000000000424616,0.24999999309918916,0.25000000033415926,0.24999999980621354
167,0.24999999329275957,0.25000000052772753,0.24999999999978245,0.24999999315184387,0.25000000038681397,0.24999999985886825
