time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3,,u_ref,y_ref
25,0.7674448606276562,0.7674042131465988,0.7613861735461425,0.9894826042044481,0.9895023073771014,0.9700269499879605,,0,1
26,0.7674416167357463,0.767401915,0.7613842175496912,0.9894766183245356,0.9894965326602566,0.9700210087995786,,0,1
27,0.7674290435544526,0.7673896799530096,0.7613720392547467,0.9894720648686665,0.9894918520154479,0.970016259,,0,1
28,0.7674148447977587,0.7673751673217826,0.7613573518120638,0.9894696795151111,0.9894892282456166,0.9700136033638057,,0,1
29,0.7674034235737565,0.7673630092002086,0.7613449125258682,0.9894691201868794,0.9894884632678602,0.9700128203474798,,0,1
30,0.7673963213472714,0.767355038,0.7613366115137865,0.9894696738810717,0.989488904,0.9700132506576037,,0,1
31,0.7673932308355075,0.7673511758338727,0.761332438,0.9894706677480064,0.9894898800816376,0.9700142220952835,,0,1
32,0.7673929912670362,0.767350384,0.7613313821814567,0.9894716405424044,0.9894909005081529,0.9700152446203868,,0,1
33,0.7673943043560283,0.7673513893158868,0.7613321899565815,0.9894723617268485,0.9894916995780512,0.9700160511327665,,0,1
34,0.7673961256119085,0.7673531082378175,0.7613337753259428,0.9894727768642414,0.9894921937893327,0.9700165561838076,,0,1
35,0.7673977957480136,0.7673548135707886,0.7613354030917503,0.9894729339342326,0.9894924136351874,0.9700167881019729,,0,1
36,0.767399011,0.767356133,0.7613366864387372,0.9894729204117365,0.9894924401751917,0.9700168260570053,,0,1
37,0.7673997204461133,0.767356962,0.761337508,0.989472822,0.9894923605876691,0.9700167559740468,,0,1
38,0.7674000146732668,0.7673573594751211,0.7613379125228119,0.9894727027538253,0.9894922443278763,0.9700166467313821,,0,1
39,0.7674000340757665,0.7673574504201905,0.7613380177929896,0.9894726000597226,0.9894921354195666,0.9700165423534179,,0,1
40,0.767399912,0.7673573678414465,0.7613379503452502,0.9894725291592836,0.9894920546574428,0.970016464,,0,1
41,0.7673997476830552,0.7673572173822725,0.7613378126960753,0.9894724904039375,0.9894920062200259,0.9700164164324522,,0,1
42,0.7673995999951131,0.7673570671945746,0.7613376717583134,0.9894724765758715,0.9894919849046485,0.9700163949879884,,0,1
43,0.7673994944918731,0.7673569511958149,0.7613375615002056,0.989472478,0.989491982,0.9700163914084486,,0,1
44,0.7673994341067577,0.7673568785062923,0.7613374917035027,0.9894724874221879,0.9894919888378916,0.9700163975015806,,0,1
45,0.7673994098998222,0.767356844,0.7613374579411376,0.9894724980602955,0.9894919990454873,0.9700164069885346,,0,1
46,0.7673994091115003,0.767356836,0.7613374497469121,0.9894725070144311,0.9894920085881551,0.9700164159795134,,0,1
47,0.7673994200380382,0.7673568429147368,0.7613374560764925,0.9894725130723051,0.9894920156301001,0.9700164226619072,,0,1
48,0.7673994342007662,0.7673568558080268,0.7613374681299978,0.9894725163024285,0.9894920198282647,0.9700164266682357,,0,1
49,0.7673994466728078,0.767356869,0.7613374802419481,0.9894725173916422,0.989492022,0.9700164284309855,,0,1
50,0.7673994554188055,0.7673568784876206,0.7613374895965173,0.9894725171737851,0.9894920219021277,0.9700164286792348,,0,1
51,0.7673994602999238,0.7673568846157366,0.7613374954350582,0.989472516,0.9894920213016819,0.9700164281213965,,0,1
52,0.7673994621439583,0.7673568874949586,0.7613374981898797,0.9894725154468924,0.9894920204215177,0.9700164272929738,,0,1
53,0.7673994620631595,0.7673568881053061,0.7613374987834578,0.9894725146922515,0.9894920196042192,0.9700164265209863,,0,1
54,0.7673994610520446,0.7673568874513221,0.7613374981687193,0.9894725141919402,0.9894920190050616,0.9700164259542515,,0,1
55,0.7673994598165191,0.7673568863199383,0.7613374970950397,0.9894725139330113,0.989492019,0.9700164256192844,,0,1
56,0.7673994587566397,0.7673568852103227,0.7613374960390011,0.9894725138531182,0.989492018,0.9700164254760149,,0,1
57,0.7673994580289009,0.7673568843649425,0.7613374952329302,0.9894725138800228,0.9894920184829687,0.970016425,,0,1
58,0.7673994576335633,0.7673568838436122,0.7613374947348261,0.9894725139533592,0.9894920185371444,0.9700164255121925,,0,1
59,0.7673994574937235,0.7673568836019931,0.7613374945030946,0.9894725140326055,0.9894920186140073,0.9700164255851838,,0,1
60,0.7673994575122809,0.7673568835542148,0.7613374944562927,0.9894725140964132,0.9894920186845672,0.9700164256521321,,0,1
61,0.7673994576047032,0.7673568836134652,0.761337495,0.9894725141378323,0.9894920187358938,0.9700164257008032,,0,1
62,0.7673994577121791,0.7673568837122688,0.7613374946054179,0.9894725141586206,0.9894920187659695,0.9700164257293094,,0,1
63,0.7673994578022298,0.7673568838081517,0.7613374946965448,0.9894725141644223,0.9894920187786462,0.970016426,,0,1
64,0.7673994578628455,0.7673568838807294,0.7613374947656963,0.9894725141614902,0.9894920187798053,0.9700164257424188,,0,1
65,0.7673994578949705,0.7673568839252072,0.7613374948082186,0.9894725141549294,0.9894920187749906,0.9700164257378618,,0,1
